rep,pitype,biastype,method,mutationtype,mutationrate
22,unequalpi,bias,FUBAR2,GT,0.1994523571849393
22,unequalpi,bias,FUBAR2,CG,0.2173326581201216
22,unequalpi,bias,FUBAR2,AT,0.3649119089855036
22,unequalpi,bias,FUBAR2,CT,0.9974623307033367
22,unequalpi,nobias,FUBAR1,AC,0.4998273970647777
22,unequalpi,nobias,FUBAR1,GT,0.1364292459947044
22,unequalpi,nobias,FUBAR1,CG,0.1755426001275598
22,unequalpi,nobias,FUBAR1,AT,0.2336485533759211
22,unequalpi,nobias,FUBAR1,CT,1.139100741927931
22,unequalpi,nobias,FUBAR2,AC,0.4998130710218116
22,unequalpi,nobias,FUBAR2,GT,0.1364431936539934
22,unequalpi,nobias,FUBAR2,CG,0.1755637972791932
22,unequalpi,nobias,FUBAR2,AT,0.23363204205789
22,unequalpi,nobias,FUBAR2,CT,1.139316377723927
23,unequalpi,bias,FUBAR1,AC,0.5802830269350692
23,unequalpi,bias,FUBAR1,GT,0.2466352547567457
23,unequalpi,bias,FUBAR1,CG,0.2335956475407251
23,unequalpi,bias,FUBAR1,AT,0.3163134498685107
23,unequalpi,bias,FUBAR1,CT,1.31808042459439
23,unequalpi,bias,FUBAR2,AC,0.5799871847218852
23,unequalpi,bias,FUBAR2,GT,0.2466512694456095
23,unequalpi,bias,FUBAR2,CG,0.2335961115915771
23,unequalpi,bias,FUBAR2,AT,0.3163127391750625
23,unequalpi,bias,FUBAR2,CT,1.318086432757043
23,unequalpi,nobias,FUBAR1,AC,0.3645052760418268
23,unequalpi,nobias,FUBAR1,GT,0.2601331630142343
23,unequalpi,nobias,FUBAR1,CG,0.2495993040517507
23,unequalpi,nobias,FUBAR1,AT,0.3507763560482403
23,unequalpi,nobias,FUBAR1,CT,1.212501650586308
23,unequalpi,nobias,FUBAR2,AC,0.3643981046370782
23,unequalpi,nobias,FUBAR2,GT,0.2600951304752795
23,unequalpi,nobias,FUBAR2,CG,0.2495818213998512
23,unequalpi,nobias,FUBAR2,AT,0.3507852194713403
23,unequalpi,nobias,FUBAR2,CT,1.212331329147077
24,unequalpi,bias,FUBAR1,AC,0.4551114705995731
24,unequalpi,bias,FUBAR1,GT,0.2102377125985112
24,unequalpi,bias,FUBAR1,CG,0.1699899907281489
24,unequalpi,bias,FUBAR1,AT,0.2879077092083116
24,unequalpi,bias,FUBAR1,CT,1.135966253397244
24,unequalpi,bias,FUBAR2,AC,0.4551056549291951
24,unequalpi,bias,FUBAR2,GT,0.2102363806476323
24,unequalpi,bias,FUBAR2,CG,0.1699894166106342
24,unequalpi,bias,FUBAR2,AT,0.287904208108225
24,unequalpi,bias,FUBAR2,CT,1.135951244747171
24,unequalpi,nobias,FUBAR1,AC,0.3732005116083611
24,unequalpi,nobias,FUBAR1,GT,0.208213836133637
24,unequalpi,nobias,FUBAR1,CG,0.2232832434554113
24,unequalpi,nobias,FUBAR1,AT,0.2840261420081249
24,unequalpi,nobias,FUBAR1,CT,1.209885714707763
24,unequalpi,nobias,FUBAR2,AC,0.3732061836020651
24,unequalpi,nobias,FUBAR2,GT,0.2082003510875196
24,unequalpi,nobias,FUBAR2,CG,0.2232831896425847
24,unequalpi,nobias,FUBAR2,AT,0.283999982550177
24,unequalpi,nobias,FUBAR2,CT,1.209885265430405
25,unequalpi,bias,FUBAR1,AC,0.3407933561669466
25,unequalpi,bias,FUBAR1,GT,0.250010722937083
25,unequalpi,bias,FUBAR1,CG,0.2143909179590294
25,unequalpi,bias,FUBAR1,AT,0.3363709775997716
25,unequalpi,bias,FUBAR1,CT,0.9972313650369063
25,unequalpi,bias,FUBAR2,AC,0.340847514012501
25,unequalpi,bias,FUBAR2,GT,0.2500165582709982
25,unequalpi,bias,FUBAR2,CG,0.2143940988169813
25,unequalpi,bias,FUBAR2,AT,0.3363773682063762
25,unequalpi,bias,FUBAR2,CT,0.9972422474570486
25,unequalpi,nobias,FUBAR1,AC,0.5213350351815491
25,unequalpi,nobias,FUBAR1,GT,0.1859295246195665
25,unequalpi,nobias,FUBAR1,CG,0.2431505701017943
25,unequalpi,nobias,FUBAR1,AT,0.2829320810373199
25,unequalpi,nobias,FUBAR1,CT,0.9507454245498473
25,unequalpi,nobias,FUBAR2,AC,0.5213355270830318
25,unequalpi,nobias,FUBAR2,GT,0.1859436649539014
25,unequalpi,nobias,FUBAR2,CG,0.2431512147225778
25,unequalpi,nobias,FUBAR2,AT,0.282885502038702
25,unequalpi,nobias,FUBAR2,CT,0.9512822197928525
